Approach,Detects DB-layer tampering,Prevents off-hours privileged misuse,Tamper-evident audit trail,Deployment complexity,Runtime overhead,Notes / Typical limitations
Native DB auditing (MySQL audit plugins / general logging),P,N,P,Low–Med,Low–Med,Produces logs but may not be tamper-evident; privileged DB administrators may disable/modify logging.
DB triggers + audit table,P,N,P,Med,Low–Med,"Captures in-DB changes, but triggers can be bypassed by privileged DB actions (e.g., disabling triggers or restoring snapshots); integrity of audit table is not guaranteed without additional protection."
Application-layer audit logging (append-only table),N–P,N,P,Low,Low–Med,Records application-visible events; does not cover direct DB-layer changes unless coupled with independent verification of persisted data.
Row checksums / hashing columns (no secret),P,N,P,Low,Low,Detects some modifications but can be recomputed by an attacker with DB write access; vulnerable when attacker can update checksum fields.
Secret-backed deterministic record fingerprinting (this work: FINGERPRINT),P,N,N,Low,High,"After each successful registry write, the service re-reads the record and separately persists one unchained HMAC data_hash row in InnoDB. A modification is detectable if it changes the normalized representation of the fixed 23-field subset and the secret remains external; coordinated same-domain deletion or rollback is not."
Per-write hash-linked audit evidence (this work: STRICT),P,N,P,Med,High,"Stores data_hash, prev_hash, and chain_hash per successful write and updates a global chain state. Retained-chain manipulation is detectable, but suffix deletion or rollback requires external expected state. The global lock serializes writes."
Checkpoint-linked audit evidence (this work: CHECKPOINT),P,N,P,Med,Med–High,"Buffers HMAC event rows and persists and links each completed batch of K events. Modification, removal, or reordering within retained finalized scopes is detectable; up to K − 1 pending events are volatile. Same-domain suffix deletion or rollback requires external expected state or anchoring."
Temporal access control (TRBAC/TBAC-style constraints),N,Y (application path),N,Low–Med,Low,Limits privileged write actions by time context for requests that traverse the configured application filter; direct database access and other bypass paths remain outside this control.
Blockchain-based auditing,P–Y,N,Y,High,Med–High,"Strong tamper evidence, but operational overhead, governance, and data confidentiality constraints often complicate e-government adoption."
Application-layer architecture evaluated in this paper (per-request temporal restriction + one of FINGERPRINT / CHECKPOINT / STRICT),P,Y (application path),N / P / P,Med,Mode-dependent: Med–High to High,Combines application-path temporal restriction with secret-backed record evidence. Chained modes verify retained same-database evidence but do not independently prove completeness or freshness after coordinated deletion or rollback; external expected state or anchoring is required.
