Threat / attack class,Example in registry context,Prevented by temporal restriction,Detected by record verification (FINGERPRINT / CHECKPOINT / STRICT),Detected by hash-linked evidence verification (CHECKPOINT / STRICT),Notes / assumptions
T1. Off-hours privileged misuse,Admin performs unauthorized updates outside working hours,Y (when enabled; filtered application pathway),N/A,N/A,"When enabled, the per-request filter replaces the authenticated authority with the configured off-hours authority outside the permitted window and restores the original authentication after request completion. Protection applies only to requests that traverse this filter; direct database access and application paths outside the filter are not covered."
T2. Silent record modification at DB layer,Direct UPDATE in MySQL altering legally significant fields,N,Y / P / Y,N,"Record verification performs a fresh database re-read and compares the recomputed data_hash with the latest persisted evidence. FINGERPRINT and STRICT invoke evidence persistence after each successful application write; CHECKPOINT persists evidence only when a K-event batch is finalized, leaving up to K − 1 pending events volatile. Hash-linked evidence verification alone does not compare registry data with data_hash."
T3. Bulk tampering / mass updates,"Scripted modification of protected fields across many records (e.g., nominal-frequency values or site coordinates)",N,P,N,"Detection requires record verification for the affected identifiers. The implemented canonical serialization covers 23 protected owner, site, and frequency fields, but the implementation does not maintain an independent exhaustive inventory of all expected registry identifiers. Under CHECKPOINT, detection also depends on the relevant evidence having been finalized."
T4. Targeted deletion,Deleting selected records to hide evidence,N,P,P,"Fingerprinting of remaining records does not prove deletion. Deletion is detectable only if verification checks an expected record set (e.g., a primary-key inventory) and/or independently retained application-level expectations. If a registry record and the corresponding same-domain evidence are removed together, the remaining retained chain may still be internally consistent; chaining therefore strengthens the integrity of retained evidence but does not by itself prove completeness."
T5. Rollback / snapshot restore,Restoring an older DB snapshot to revert changes,N,P,P,"If registry data and integrity tables are restored together to an older mutually consistent snapshot, verification against the restored same-domain state alone cannot distinguish that snapshot from the expected current state. Detectability therefore requires comparison with an independently retained expected checkpoint hash, batch number, record inventory, authoritative export, or equivalent monotonic external state."
T6. Reordering or manipulation of audit entries,Removing or reordering audit rows to conceal actions,N,N/A,P,"Hash linkage makes modification, removal, or reordering within the retained protected chaining scope detectable during verification. Complete truncation of a chain suffix or rollback of the entire same-domain state may leave the retained prefix internally valid and therefore requires an independently retained expected anchor or progression state for detection."
T7. Attempt to forge integrity evidence by recomputing fingerprints,Attacker modifies data and attempts to recompute data_hash (and corresponding chained evidence),N,Y if the HMAC secret remains unknown; N if compromised,Y if the chain secret remains unknown; N if compromised,"If the secret is unknown, the attacker cannot recompute valid data_hash values (or produce consistent chained evidence), and tampering is detectable during verification. If the secret is compromised, integrity evidence can be forged; secure secret storage and restricted access are required."
T8. Application runtime compromise,Attacker extracts secret from application or alters verification logic,N,N,N,Out of scope. The implemented mechanisms assume that application secrets and verification logic are not compromised.
T9. Collusion / dual-control bypass,Two insiders coordinate to authorize a malicious change,P,N,N,"The temporal filter can restrict off-hours use but does not implement dual authorization. A malicious change submitted through an authorized application pathway produces valid integrity evidence, so subsequent verification does not classify the change as malicious. The retained log may provide traceability, but dual control is outside the implemented mechanism."
T10. Time manipulation,Changing server time to bypass temporal restriction,N,N/A,N/A,The filter evaluates the configured server-side clock and does not independently detect or correct clock compromise. Trusted time maintenance and anomaly monitoring are external deployment assumptions and were not validated in this study.
T11. Denial-of-service via audit growth,Forcing high-volume updates to increase audit storage,N,N/A,N,The implemented integrity mechanisms do not prevent or detect storage exhaustion caused by sustained update volume. Mitigation is outside the evaluated mechanism and was not tested in this study.
